participant_id,word,response,length,silent_letters,shared_phonemes,total_difficulty
n,soto,,4,0,1,5
n,barroquismo,,11,1,3,15
n,depositar,,9,0,1,10
n,aletear,,7,0,0,7
n,patilla,,7,0,1,8
n,hablado,,7,1,1,9
n,suajili,,7,0,2,9
n,habanero,,8,1,1,10
n,oratorio,,8,0,0,8
n,posteridad,,10,0,1,11
n,hogar,,5,1,0,6
n,mosquitera,,10,1,2,13
n,unidireccional,,14,0,1,15
n,linear,,6,0,0,6
n,hilo,,4,1,0,5
n,chistosamente,,13,0,2,15
n,posicionar,,10,0,2,12
n,inicio,,6,0,1,7
n,fiel,,4,0,0,4
n,voraz,,5,0,2,7
n,arpegiar,,8,0,1,9
n,ordenado,,8,0,0,8
n,yodo,,4,0,1,5
n,proclamar,,9,0,0,9
